0.x	0x0000000000000000
0.s	0x3ff0000000000000
0.approx_eq	true
0.near	false
0.lerp	0x3fd3333333333333
0.inv_lerp	0x3fd5555555555555
0.remap	0x3fe0000000000000
0.clamp	0x0000000000000000
0.wrap	0x0000000000000000
0.floor_to_step	0x0000000000000000
0.round_to_step	0x0000000000000000
0.ceil_to_step	0x0000000000000000
1.x	0x0000000000000000
1.s	0x3fe0000000000000
1.approx_eq	true
1.near	false
1.lerp	0x3fc3333333333333
1.inv_lerp	0x3fd5555555555555
1.remap	0x3fd0000000000000
1.clamp	0x0000000000000000
1.wrap	0x0000000000000000
1.floor_to_step	0x0000000000000000
1.round_to_step	0x0000000000000000
1.ceil_to_step	0x0000000000000000
2.x	0x0000000000000000
2.s	0x4008000000000000
2.approx_eq	true
2.near	false
2.lerp	0x3feccccccccccccc
2.inv_lerp	0x3fd5555555555555
2.remap	0x3ff8000000000000
2.clamp	0x0000000000000000
2.wrap	0x0000000000000000
2.floor_to_step	0x0000000000000000
2.round_to_step	0x0000000000000000
2.ceil_to_step	0x0000000000000000
3.x	0x0000000000000000
3.s	0x3fb999999999999a
3.approx_eq	true
3.near	true
3.lerp	0x3f9eb851eb851eb8
3.inv_lerp	0x3fd5555555555555
3.remap	0x3fa999999999999a
3.clamp	0x0000000000000000
3.wrap	0x0000000000000000
3.floor_to_step	0x0000000000000000
3.round_to_step	0x0000000000000000
3.ceil_to_step	0x0000000000000000
4.x	0x8000000000000000
4.s	0x3ff0000000000000
4.approx_eq	true
4.near	false
4.lerp	0x3fd3333333333333
4.inv_lerp	0x3fd5555555555555
4.remap	0x3fe0000000000000
4.clamp	0x8000000000000000
4.wrap	0x0000000000000000
4.floor_to_step	0x8000000000000000
4.round_to_step	0x8000000000000000
4.ceil_to_step	0x8000000000000000
5.x	0x8000000000000000
5.s	0x3fe0000000000000
5.approx_eq	true
5.near	false
5.lerp	0x3fc3333333333333
5.inv_lerp	0x3fd5555555555555
5.remap	0x3fd0000000000000
5.clamp	0x8000000000000000
5.wrap	0x0000000000000000
5.floor_to_step	0x8000000000000000
