packet	02c803fd04ffff05feff0600286bee07f9ffffff080000000000000080090000000000ffffff0a0000803e0b000000000000f8bf01011006000000ed959ceab880200300000009080701010705000000070000008009000000800000000009ffffffffffff1f000b000000000000f83f0b000000000000f87f09000000000000008010010000007320010000000100
read.0	number:200
read.1	number:-3
read.2	number:65535
read.3	number:-2
read.4	number:4000000000
read.5	number:-7
read.6	bigint:9223372036854775808
read.7	bigint:-1099511627776
read.8	number:0.25
read.9	number:-1.5
read.10	boolean:true
read.11	string:한글
read.12	bytes:090807
read.13	boolean:true
read.14	number:5
read.15	number:-2147483648
read.16	bigint:2147483648
read.17	bigint:9007199254740991
read.18	number:1.5
read.19	number:NaN
read.20	bigint:-9223372036854775808
read.21	string:s
read.22	bytes:01
huge.packet	10ffffffff616200
huge.read	errno:-74
