steps.0.op	pop
steps.0.min	none
steps.0.max	none
steps.1.op	push
steps.1.key	7
steps.1.val	1
steps.2.op	pop
steps.2.min	7:1
steps.2.max	7:1
steps.3.op	push
steps.3.key	13
steps.3.val	3
steps.4.op	push
steps.4.key	10
steps.4.val	4
steps.5.op	push
steps.5.key	15
steps.5.val	5
steps.6.op	pop
steps.6.min	10:4
steps.6.max	15:5
steps.7.op	push
steps.7.key	15
steps.7.val	7
steps.8.op	pop
steps.8.min	13:3
steps.8.max	15:7
steps.9.op	push
steps.9.key	7
steps.9.val	9
steps.10.op	pop
steps.10.min	7:9
steps.10.max	13:3
steps.11.op	push
steps.11.key	13
steps.11.val	11
steps.12.op	pop
steps.12.min	13:11
steps.12.max	13:11
steps.13.op	push
steps.13.key	14
steps.13.val	13
steps.14.op	push
steps.14.key	8
steps.14.val	14
steps.15.op	push
steps.15.key	15
steps.15.val	15
steps.16.op	push
steps.16.key	5
steps.16.val	16
steps.17.op	pop
steps.17.min	5:16
steps.17.max	15:15
steps.18.op	pop
steps.18.min	8:14
steps.18.max	14:13
steps.19.op	push
steps.19.key	13
steps.19.val	19
steps.20.op	push
steps.20.key	14
steps.20.val	20
steps.21.op	push
steps.21.key	12
steps.21.val	21
steps.22.op	push
steps.22.key	15
steps.22.val	22
steps.23.op	pop
steps.23.min	12:21
steps.23.max	15:22
steps.24.op	push
steps.24.key	15
steps.24.val	24
steps.25.op	pop
steps.25.min	13:19
steps.25.max	15:24
steps.26.op	push
steps.26.key	12
steps.26.val	26
steps.27.op	pop
steps.27.min	12:26
steps.27.max	14:20
steps.28.op	push
steps.28.key	7
steps.28.val	28
steps.29.op	pop
steps.29.min	7:28
steps.29.max	13:19
steps.30.op	push
steps.30.key	9
steps.30.val	30
steps.31.op	push
steps.31.key	16
steps.31.val	31
steps.32.op	push
steps.32.key	14
steps.32.val	32
steps.33.op	push
steps.33.key	17
steps.33.val	33
steps.34.op	pop
steps.34.min	9:30
steps.34.max	17:33
steps.35.op	push
steps.35.key	12
steps.35.val	35
steps.36.op	push
steps.36.key	1
steps.36.val	36
steps.37.op	pop
steps.37.min	1:36
steps.37.max	16:31
