0.name	nil
0.packet	58545000000000000000000000000000
1.name	i32
1.packet	5854500000000000040000008a0000002a00000000000000
2.name	f64
2.packet	58545000000000000800000093000000000000000000f83f
3.name	bigint
3.packet	5854500000000000080000008b000000fbffffffffffffff
4.name	u64
4.packet	58545000000000000800000083000000feffffffffffffff
5.name	bool
5.packet	585450000000000001000000980000000100000000000000
6.name	str
6.packet	585450000000000010000000b9000000060000000000000068c3a96c6c6f0000
7.name	str empty
7.packet	585450000000000010000000b900000000000000000000000000000000000000
8.name	typed u16
8.packet	585450000000000010000000a100000003000000000000000100020003000000
9.name	typed f32
9.packet	585450000000000010000000b200000002000000000000000000003f000000c0
10.name	bitset
10.packet	585450000000000010000000b800000009000000000000000d01000000000000
11.name	branch mixed
11.packet	585450000000000098000000200000000700000000000000400000008a00000048000000b900000058000000980000000000000000000000600000008b000000680000002000000088000000aa0000002a00000000000000050000000000000068656c6c6f000000010000000000000000000000000100000200000000000000180000008a0000001c0000008a000000010000000200000001000000000000000700000000000000
12.name	branch null child
12.packet	585450000000000030000000200000000400000000000000000000008000000000000000b9000000000000002000000028000000820000000900000000000000
13.name	branch empty
13.packet	585450000000000008000000200000000000000000000000
14.name	typed null root
14.packet	58545000000000000000000082000000
15.name	graft
15.packet	585450000000000030000000400000000200000000000000180000008a00000020000000b9000000010000000000000001000000000000007800000000000000
